id,event_id,latitude,longitude,type,area,date_time,slope,state,county,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,event_url,fccs_number,owner,sf_ProvinceName,sf_cffeps_hourly_area,sf_cffeps_hourly_heat,sf_event_guid,sf_hourly_area,sf_hourly_area_fraction,sf_hourly_flaming_fraction,sf_hourly_heat,sf_hourly_residual_fraction,sf_hourly_smolder_fraction,sf_server,sf_stream_name,timezone
SF11C173223615910433420,SF11E637067,41.81,-85.76,WF,238.478437939,202009210000-04:00,10.0,MI,,,26149,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.930574090598,0.0,0.0,0.930574090598,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,646629502.6453961,1.6155809999999997,1.9063870000000005,15.933960000000003,366.1037099999999,0.8477389999999998,0.5370530000000001,0.2677230000000001,0.21748499999999998,3.8485670000000005,Urban,0.0,http://tomcat-sf/smartfire/events/a67dbc14-5ff5-476d-9d02-f498ed4103fd,0,,,[],[],a67dbc14-5ff5-476d-9d02-f498ed4103fd,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-5.0
SF11C173223615910433420,SF11E637067,41.81,-85.76,WF,238.478437939,202009220000-04:00,10.0,MI,,,26149,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.930574090598,0.0,0.0,0.930574090598,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,646629502.6453961,1.6155809999999997,1.9063870000000005,15.933960000000003,366.1037099999999,0.8477389999999998,0.5370530000000001,0.2677230000000001,0.21748499999999998,3.8485670000000005,Urban,0.0,http://tomcat-sf/smartfire/events/a67dbc14-5ff5-476d-9d02-f498ed4103fd,0,,,[],[],a67dbc14-5ff5-476d-9d02-f498ed4103fd,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-5.0
SF11C173223615910433420,SF11E637067,41.81,-85.76,WF,238.478437939,202009230000-04:00,10.0,MI,,,26149,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.930574090598,0.0,0.0,0.930574090598,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,646629502.6453961,1.6155809999999997,1.9063870000000005,15.933960000000003,366.1037099999999,0.8477389999999998,0.5370530000000001,0.2677230000000001,0.21748499999999998,3.8485670000000005,Urban,0.0,http://tomcat-sf/smartfire/events/a67dbc14-5ff5-476d-9d02-f498ed4103fd,0,,,[],[],a67dbc14-5ff5-476d-9d02-f498ed4103fd,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-5.0
SF11C173223715910433420,SF11E637065,35.54,-91.343,WF,39.500536469,202009190000-05:00,10.0,AR,,,05067,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2929af5a-193d-4de0-9c8f-4351e4b2ead2,0,,,[],[],2929af5a-193d-4de0-9c8f-4351e4b2ead2,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223715910433420,SF11E637065,35.54,-91.343,WF,39.500536469,202009200000-05:00,10.0,AR,,,05067,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2929af5a-193d-4de0-9c8f-4351e4b2ead2,0,,,[],[],2929af5a-193d-4de0-9c8f-4351e4b2ead2,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223715910433420,SF11E637065,35.54,-91.343,WF,39.500536469,202009210000-05:00,10.0,AR,,,05067,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2929af5a-193d-4de0-9c8f-4351e4b2ead2,0,,,[],[],2929af5a-193d-4de0-9c8f-4351e4b2ead2,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223715910433420,SF11E637065,35.54,-91.343,WF,39.500536469,202009220000-05:00,10.0,AR,,,05067,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2929af5a-193d-4de0-9c8f-4351e4b2ead2,0,,,[],[],2929af5a-193d-4de0-9c8f-4351e4b2ead2,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223715910433420,SF11E637065,35.54,-91.343,WF,39.500536469,202009230000-05:00,10.0,AR,,,05067,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2929af5a-193d-4de0-9c8f-4351e4b2ead2,0,,,[],[],2929af5a-193d-4de0-9c8f-4351e4b2ead2,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223815910433420,SF11E637048,37.218,-89.659,WF,39.500536469,202009190000-05:00,10.0,MO,,,29201,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,0,,,[],[],2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
SF11C173223815910433420,SF11E637048,37.218,-89.659,WF,39.500536469,202009200000-05:00,10.0,MO,,,29201,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,0.446089580214,0.0,0.0,0.446089580214,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,34780713.686687,0.12827400000000003,0.15137,1.2651739999999998,29.068975,0.06731399999999998,0.042642,0.021252999999999998,0.017261000000000002,0.3055790000000001,Urban,0.0,http://tomcat-sf/smartfire/events/2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,0,,,[],[],2d8eb1e0-ec3f-4f96-95a7-4c725fbd0b0a,,,,,,,tomcat-sf,CWFIS-Hotspots+GroundReports,-6.0
